O*NET-SOC Code,Title,Description,TopSkills,SkillImportance,SoftwareTools,HotTechFlags
51-8021.00,Stationary Engineers and Boiler Operators,"Operate or maintain stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or industrial processes. Operate equipment such as steam engines, generators, motors, turbines, and steam boilers.",Active Listening|Critical Thinking|Reading Comprehension|Active Learning|Monitoring|Speaking|Writing|Science|Mathematics|Learning Strategies,3.25|3.25|3.12|3.12|3.12|3.0|2.88|2.25|2.12|2.12,Email software|Microsoft Active Server Pages ASP|Operational Data Store ODS software|Web browser software|Graphics software|Computerized maintenance management system CMMS|Building management system software|Statistical software|Microsoft Excel|Microsoft Office software|SAP software|Microsoft Word|Microsoft PowerPoint|Microsoft Outlook|Database software,N|N|N|N|N|Y|Y|Y|Y|Y|Y|N|Y|N|N
51-8031.00,Water and Wastewater Treatment Plant and System Operators,"Operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or wastewater.",Monitoring|Active Listening|Speaking|Reading Comprehension|Critical Thinking|Mathematics|Writing|Active Learning|Learning Strategies|Science,3.62|3.12|3.12|3.0|3.0|2.88|2.75|2.75|2.75|2.62,Operational Data Store ODS software|Material safety data sheet MSDS software|Records management software|Geographic information system GIS systems|Timekeeping software|Human machine interface HMI software|Microsoft Excel|Data logging software|Microsoft Office software|Microsoft Word|Supervisory control and data acquisition SCADA software|Wastewater expert control systems|Microsoft PowerPoint|Microsoft Outlook|Database software,N|N|N|N|N|Y|Y|Y|Y|Y|N|N|N|N|N
51-8091.00,Chemical Plant and System Operators,Control or operate entire chemical processes or system of machines.,Monitoring|Critical Thinking|Reading Comprehension|Active Listening|Speaking|Writing|Active Learning|Mathematics|Learning Strategies|Science,3.75|3.62|3.12|3.12|3.12|3.0|3.0|2.75|2.75|2.62,Alarm management system software|Coordinated incident management system CIMS software|Interlock shutdown systems|Distributed control system DCS|Microsoft Excel|Microsoft Office software|Microsoft Word,N|N|N|N|Y|Y|Y
51-8092.00,Gas Plant Operators,Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.,Monitoring|Critical Thinking|Reading Comprehension|Active Listening|Writing|Speaking|Mathematics|Active Learning|Learning Strategies|Science,3.62|3.5|3.12|3.0|3.0|3.0|2.88|2.88|2.75|2.0,Quorum PGAS|Google Android|Microsoft Excel|AspenTech HYSYS|Microsoft Office software|Microsoft Word|SAP software|Supervisory control and data acquisition SCADA software|Work scheduling software|Operating log software|Microsoft PowerPoint|Microsoft Outlook,N|Y|Y|Y|Y|Y|Y|N|N|Y|N|N
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Operate or control petroleum refining or processing units. May specialize in controlling manifold and pumping systems, gauging or testing oil in storage tanks, or regulating the flow of oil into pipelines.",Monitoring|Reading Comprehension|Speaking|Active Listening|Writing|Critical Thinking|Active Learning|Learning Strategies|Mathematics|Science,3.62|3.5|3.12|3.0|3.0|3.0|3.0|2.88|2.62|2.0,Email software|Inventory tracking software|Microsoft Excel|Programmable logic controller PLC software|Microsoft Word|Supervisory control and data acquisition SCADA software|Microsoft Outlook,N|N|Y|Y|Y|N|N
51-8099.00,"Plant and System Operators, All Other",All plant and system operators not listed separately.,,,,
51-8099.01,Biofuels Processing Technicians,"Calculate, measure, load, mix, and process refined feedstock with additives in fermentation or reaction process vessels and monitor production process. Perform, and keep records of, plant maintenance, repairs, and safety inspections.",Reading Comprehension|Monitoring|Active Listening|Speaking|Writing|Critical Thinking|Mathematics|Science|Active Learning|Learning Strategies,3.5|3.38|3.25|3.25|3.12|3.12|2.88|2.88|2.88|2.5,Data visualization software|Computerized maintenance management system CMMS|Tableau|Inventory control software|Human machine interface HMI software|Microsoft Excel|Microsoft Word|Digital control systems DCS|Python|SAS|R,N|N|N|N|N|Y|Y|Y|Y|Y|Y
51-9011.00,Chemical Equipment Operators and Tenders,"Operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products. Equipment used includes devulcanizers, steam-jacketed kettles, and reactor vessels.",Monitoring|Reading Comprehension|Active Listening|Writing|Critical Thinking|Speaking|Active Learning|Mathematics|Learning Strategies|Science,3.62|3.12|3.0|3.0|3.0|2.88|2.88|2.62|2.62|2.5,Operational databases|IBM Notes|Microsoft Excel|Microsoft Office software|SAP software|Microsoft Word|Microsoft PowerPoint|Microsoft Outlook,N|Y|Y|Y|Y|Y|N|Y
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators.",Critical Thinking|Monitoring|Reading Comprehension|Active Listening|Writing|Speaking|Active Learning|Learning Strategies|Mathematics|Science,3.12|3.12|3.0|3.0|2.88|2.88|2.88|2.75|2.62|2.5,Email software|Microsoft Excel|Microsoft Office software|SAP software|Microsoft Word|Microsoft PowerPoint|Microsoft Outlook,N|Y|Y|Y|Y|Y|Y
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to crush, grind, or polish materials, such as coal, glass, grain, stone, food, or rubber.",Monitoring|Reading Comprehension|Active Listening|Speaking|Writing|Critical Thinking|Active Learning|Learning Strategies|Mathematics|Science,3.12|3.0|3.0|3.0|2.88|2.88|2.75|2.5|2.38|1.88,Email software|Microsoft Excel|Microsoft Office software|SAP software|Microsoft Word,N|Y|Y|Y|Y
51-9022.00,"Grinding and Polishing Workers, Hand","Grind, sand, or polish, using hand tools or hand-held power tools, a variety of metal, wood, stone, clay, plastic, or glass objects. Includes chippers, buffers, and finishers.",Active Listening|Speaking|Critical Thinking|Reading Comprehension|Monitoring|Writing|Active Learning|Mathematics|Learning Strategies|Science,2.88|2.88|2.88|2.75|2.75|2.38|2.38|2.12|2.12|1.12,Microsoft Excel|Microsoft Word,Y|Y
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients.",Reading Comprehension|Critical Thinking|Monitoring|Speaking|Active Listening|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.12|3.12|3.12|3.0|2.88|2.75|2.75|2.62|2.38|1.88,Email software|Operational databases|Microsoft Excel|Microsoft Office software|Microsoft Windows|Microsoft Word|SAP software|Microsoft Outlook,N|Y|Y|Y|Y|Y|N|Y
51-9031.00,"Cutters and Trimmers, Hand","Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber.",Active Listening|Speaking|Reading Comprehension|Monitoring|Critical Thinking|Writing|Active Learning|Mathematics|Learning Strategies|Science,2.88|2.88|2.75|2.75|2.62|2.12|2.12|2.0|2.0|1.0,Microsoft Excel|Microsoft Word|Microsoft Outlook,Y|Y|Y
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that cut or slice materials, such as glass, stone, cork, rubber, tobacco, food, paper, or insulating material.",Reading Comprehension|Monitoring|Active Listening|Critical Thinking|Speaking|Active Learning|Mathematics|Writing|Learning Strategies|Science,3.12|3.12|2.88|2.88|2.75|2.5|2.38|2.25|2.0|1.5,Microsoft Excel|SAP software|Microsoft Word|Microsoft Outlook,Y|Y|Y|Y
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Set up, operate, or tend machines, such as glass-forming machines, plodder machines, and tuber machines, to shape and form products such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics.",Monitoring|Speaking|Reading Comprehension|Active Listening|Critical Thinking|Writing|Active Learning|Mathematics|Learning Strategies|Science,3.38|3.12|3.0|3.0|3.0|2.75|2.62|2.12|2.12|1.75,Production scheduling software|Microsoft Outlook|Microsoft Excel|Microsoft Office software|SAP software|Microsoft Word|Operational databases,Y|Y|Y|Y|N|N|Y
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Operate or tend heating equipment other than basic metal, plastic, or food processing equipment. Includes activities such as annealing glass, drying lumber, curing rubber, removing moisture from materials, or boiling soap.",Reading Comprehension|Active Listening|Speaking|Critical Thinking|Monitoring|Writing|Active Learning|Mathematics|Learning Strategies|Science,3.12|3.12|3.12|3.12|3.12|2.62|2.38|2.25|2.12|1.88,Inventory tracking software|Microsoft Excel|Machine operation software|Microsoft Word,N|N|Y|Y
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers","Inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications. May use precision measuring instruments and complex test equipment.",Writing|Critical Thinking|Reading Comprehension|Active Listening|Speaking|Monitoring|Mathematics|Active Learning|Learning Strategies|Science,3.25|3.25|3.12|3.12|3.12|3.0|2.62|2.38|2.0|1.62,Cybermetrics GAGETrak|IBM Lotus Notes|Mastercam computer-aided design and manufacturing software|Data analysis software|Structured query language SQL|Mastercam Design|Apache Pig|Microsoft Word|Statistical process control SPC data collection devices|Selenium|Dassault Systemes CATIA|Atlassian JIRA|Minitab|Autodesk AutoCAD|The MathWorks MATLAB,Y|N|Y|Y|N|N|N|N|N|Y|N|N|N|N|Y
51-9071.00,Jewelers and Precious Stone and Metal Workers,"Design, fabricate, adjust, repair, or appraise jewelry, gold, silver, other precious metals, or gems.",Active Listening|Speaking|Critical Thinking|Reading Comprehension|Monitoring|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.12|3.0|3.0|2.75|2.75|2.5|2.38|2.25|2.0|1.25,Web browser software|Metal designing software|Jewelry store point of sale POS software|Adobe Illustrator|Customer information databases|Intuit QuickBooks|Retail management software|Computer assisted jewelry design CAD software|Inventory tracking software|Microsoft Excel|Microsoft Word|Adobe Photoshop|Microsoft Outlook,Y|Y|N|N|Y|N|N|N|Y|Y|Y|N|N
51-9071.06,Gem and Diamond Workers,"Fabricate, finish, or evaluate the quality of gems and diamonds used in jewelry or industrial tools.",Critical Thinking|Monitoring|Reading Comprehension|Active Listening|Speaking|Writing|Mathematics|Active Learning|Learning Strategies|Science,3.12|3.12|3.0|3.0|3.0|2.88|2.75|2.75|2.12|1.5,Web browser software|Jewelry design software|Gem identification databases|Inventory tracking software|Business accounting software|GemCad|Spectrophotometer analysis software,N|N|N|N|N|N|N
51-9081.00,Dental Laboratory Technicians,Construct and repair full or partial dentures or dental appliances.,Reading Comprehension|Critical Thinking|Active Listening|Speaking|Active Learning|Monitoring|Writing|Learning Strategies|Science|Mathematics,3.38|3.25|3.0|3.0|3.0|3.0|2.88|2.88|2.12|2.0,Laboratory Systems Group Lab Manager|Intuit QuickBooks|Microsoft Word|Computer imaging software|Dental product design software|Web browser software|Computer aided design and drafting CADD software|Graphics software|Mainstreet Systems & Software DentaRX|Database management software|Email software|Dental product manufacturing software|Inventrix Labtrac|Microsoft Excel|Microsoft Office software,N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N
51-9082.00,Medical Appliance Technicians,"Construct, maintain, or repair medical supportive devices such as braces, orthotics and prosthetic devices, joints, arch supports, and other surgical and medical appliances.",Critical Thinking|Reading Comprehension|Active Listening|Speaking|Monitoring|Active Learning|Writing|Learning Strategies|Mathematics|Science,3.75|3.62|3.62|3.62|3.25|3.12|2.88|2.75|2.62|1.75,Gait analysis software|Orthotic fabrication software|Autodesk AutoCAD|Vorum Research Corporation CANFIT-PLUS|Microsoft Excel|Microsoft Office software|SoftSource CADview|Microsoft Word|Ohio Willow Wood OMEGA Tracer System|Seattle Systems Shapemaker|Footmaxx Metascan software|Microsoft Outlook,Y|N|N|Y|Y|Y|Y|N|N|N|N|N
51-9083.00,Ophthalmic Laboratory Technicians,"Cut, grind, and polish eyeglasses, contact lenses, or other precision optical elements. Assemble and mount lenses into frames or process other optical elements. Includes precision lens polishers or grinders, centerer-edgers, and lens mounters.",Reading Comprehension|Critical Thinking|Monitoring|Active Listening|Speaking|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.0|3.0|3.0|2.88|2.88|2.75|2.75|2.5|2.12|1.75,Electronic medical record EMR software|Microsoft Excel|Microsoft Office software|Eyeglass design software|Microsoft Word|SAP software|Microsoft PowerPoint|Microsoft Outlook,N|N|Y|Y|Y|Y|Y|Y
51-9111.00,Packaging and Filling Machine Operators and Tenders,Operate or tend machines to prepare industrial or consumer products for storage or shipment. Includes cannery workers who pack food products.,Monitoring|Active Listening|Reading Comprehension|Critical Thinking|Speaking|Writing|Active Learning|Mathematics|Learning Strategies|Science,3.12|3.0|2.88|2.88|2.75|2.62|2.38|2.12|2.12|1.0,Email software|Microsoft Excel|Microsoft Office software|SAP software|Microsoft Word|Label printing software|Microsoft PowerPoint|Microsoft Outlook,N|N|Y|Y|Y|Y|Y|Y
51-9123.00,"Painting, Coating, and Decorating Workers","Paint, coat, or decorate articles, such as furniture, glass, plateware, pottery, jewelry, toys, books, or leather.",Active Listening|Monitoring|Reading Comprehension|Speaking|Critical Thinking|Writing|Active Learning|Learning Strategies|Mathematics|Science,2.88|2.88|2.75|2.75|2.75|2.25|2.12|2.0|1.88|1.0,Adobe FreeHand MX|Adobe Illustrator|Microsoft Excel|Corel WordPerfect Office Suite|Adobe Photoshop,N|Y|Y|N|Y
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Set up, operate, or tend spraying or rolling machines to coat or paint any of a wide variety of products, including glassware, cloth, ceramics, metal, plastic, paper, or wood, with lacquer, silver, copper, rubber, varnish, glaze, enamel, oil, or rust-proofing materials. Includes painters of transportation vehicles such as painters in auto body repair facilities.",Monitoring|Critical Thinking|Reading Comprehension|Active Listening|Speaking|Learning Strategies|Active Learning|Writing|Mathematics|Science,3.12|2.75|2.62|2.62|2.62|2.62|2.5|2.25|2.0|1.12,Time recording software|Robotic painting software|Maintenance management software|Scheduling software|Inventory control software|Microsoft Excel|Materials requirement planning MRP software|Microsoft Office software|Microsoft Word|Inventory management systems|Microsoft Outlook,N|N|N|N|Y|Y|Y|Y|N|N|N
51-9141.00,Semiconductor Processing Technicians,"Perform any or all of the following functions in the manufacture of electronic semiconductors: load semiconductor material into furnace; saw formed ingots into segments; load individual segment into crystal growing chamber and monitor controls; locate crystal axis in ingot using x-ray equipment and saw ingots into wafers; and clean, polish, and load wafers into series of special purpose furnaces, chemical baths, and equipment used to form circuitry and change conductive properties.",Reading Comprehension|Critical Thinking|Active Listening|Monitoring|Speaking|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.38|3.38|3.25|3.25|2.88|2.75|2.5|2.25|1.88|1.88,Python|Microsoft Excel|Microsoft Office software|SAP software|Microsoft Word|National Instruments TestStand|yieldWerx|Camstar Systems Camstar Semiconductor Suite|Eyelit Manufacturing|Microsoft PowerPoint|Database software,N|N|N|Y|Y|Y|Y|N|Y|Y|N
51-9151.00,Photographic Process Workers and Processing Machine Operators,Perform work involved in developing and processing photographic images from film or digital media. May perform precision tasks such as editing photographic negatives and prints.,Active Listening|Reading Comprehension|Speaking|Critical Thinking|Monitoring|Active Learning|Writing|Learning Strategies|Mathematics|Science,3.38|3.25|3.25|3.12|3.12|2.88|2.75|2.5|2.0|1.62,TypeScript|Microsoft Publisher|Structured query language SQL|Cascading style sheets CSS|ExpressDigital Labtricity|Microsoft Word|MongoDB|Adobe Photoshop|Amazon Web Services AWS software|Adobe Creative Cloud software|Adobe Illustrator|Phase One Capture One|SAP software|Camera Bits Photo Mechanic|Microsoft Access,Y|Y|Y|Y|Y|N|Y|Y|N|Y|N|Y|Y|Y|Y
51-9161.00,Computer Numerically Controlled Tool Operators,"Operate computer-controlled tools, machines, or robots to machine or process parts, tools, or other work pieces made of metal, plastic, wood, stone, or other materials. May also set up and maintain equipment.",Critical Thinking|Monitoring|Active Listening|Speaking|Reading Comprehension|Active Learning|Mathematics|Writing|Learning Strategies|Science,3.62|3.62|3.12|3.0|2.88|2.88|2.75|2.62|2.62|1.62,Direct motion computer numerically controlled CNC software|Kentech PROTALK|Mastercam computer-aided design and manufacturing software|CGTech Vericut CNC|Kentech Kipware X CNC|IMSI TurboCAD|Cadem CAPSTurn|FlashCut CNC|CNC Mastercam|Microsoft Word|Cadem seeNC Mill|Dassault Systemes CATIA|EditCNC|KCD cabinet design software|M-code,N|Y|N|N|N|N|N|N|N|N|N|Y|N|N|N
51-9162.00,Computer Numerically Controlled Tool Programmers,"Develop programs to control machining or processing of materials by automatic machine tools, equipment, or systems. May also set up, operate, or maintain equipment.",Monitoring|Mathematics|Reading Comprehension|Active Listening|Speaking|Critical Thinking|Writing|Active Learning|Learning Strategies|Science,3.5|3.12|3.0|3.0|3.0|3.0|2.88|2.88|2.62|1.88,Vero Software machining STRATEGIST|Vero Software WorkNC|GeoPath CAD/CAM System|ICAM CAM-POST|Dolphin CAD/CAM|Dassault Systemes SolidWorks|Delcam FeatureCAM|Vero Software Edgecam|Metamation MetaCAM|Microsoft Office software|Sprut Technology SprutCAM|1CadCam Unigraphics|Technos Astra R-Nesting|SolidCAM iMachining|Vero Software PEPS,N|N|N|Y|N|N|N|N|N|N|N|N|N|Y|N
51-9191.00,Adhesive Bonding Machine Operators and Tenders,"Operate or tend bonding machines that use adhesives to join items for further processing or to form a completed product. Processes include joining veneer sheets into plywood; gluing paper; or joining rubber and rubberized fabric parts, plastic, simulated leather, or other materials.",Active Listening|Speaking|Monitoring|Reading Comprehension|Critical Thinking|Writing|Active Learning|Mathematics|Learning Strategies|Science,3.12|3.12|3.12|3.0|2.88|2.75|2.62|2.5|2.25|1.5,Microsoft Excel|SAP software|Microsoft Office software|Microsoft Word|Microsoft PowerPoint,Y|Y|Y|Y|Y
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Operate or tend machines to wash or clean products, such as barrels or kegs, glass items, tin plate, food, pulp, coal, plastic, or rubber, to remove impurities.",Active Listening|Speaking|Critical Thinking|Monitoring|Reading Comprehension|Writing|Learning Strategies|Active Learning|Mathematics|Science,2.88|2.88|2.88|2.88|2.75|2.25|2.25|2.12|2.0|1.5,Microsoft Excel|Microsoft Word,Y|Y
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,"Operate or tend equipment such as cooling and freezing units, refrigerators, batch freezers, and freezing tunnels, to cool or freeze products, food, blood plasma, and chemicals.",Critical Thinking|Monitoring|Speaking|Reading Comprehension|Active Listening|Active Learning|Writing|Learning Strategies|Mathematics|Science,3.62|3.5|3.12|3.0|3.0|3.0|2.88|2.5|2.38|1.75,Microsoft Excel|Microsoft Office software|Microsoft Word|Google Gmail|Microsoft PowerPoint,N|Y|Y|Y|Y
51-9194.00,Etchers and Engravers,"Engrave or etch metal, wood, rubber, or other materials. Includes such workers as etcher-circuit processors, pantograph engravers, and silk screen etchers.",Reading Comprehension|Monitoring|Active Listening|Speaking|Critical Thinking|Active Learning|Writing|Learning Strategies|Mathematics|Science,3.12|3.12|3.0|3.0|3.0|2.38|2.25|2.25|2.0|1.12,Corel CorelDraw Graphics Suite|Adobe Illustrator|Microsoft Windows|Gravograph GravoStyle|Microsoft Office software|Computer aided design and computer aided manufacturing CAD/CAM engraving software|Western Engravers Supply Vision EXPERT|Delcam ArtCAM Express,Y|N|N|N|N|Y|Y|N
51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic","Mold, shape, form, cast, or carve products such as food products, figurines, tile, pipes, and candles consisting of clay, glass, plaster, concrete, stone, or combinations of materials.",Reading Comprehension|Active Listening|Speaking|Monitoring|Writing|Critical Thinking|Active Learning|Learning Strategies|Mathematics|Science,2.88|2.88|2.75|2.75|2.62|2.62|2.25|2.12|2.0|1.0,Mastercam computer-aided design and manufacturing software|Inventory control software|Timekeeping software|Microsoft Excel|Microsoft Office software|Microsoft Word|Dassault Systemes SolidWorks|Microsoft Outlook,Y|N|N|Y|Y|Y|Y|N
51-9195.03,"Stone Cutters and Carvers, Manufacturing",Cut or carve stone according to diagrams and patterns.,Active Listening|Critical Thinking|Reading Comprehension|Speaking|Monitoring|Active Learning|Writing|Mathematics|Learning Strategies|Science,3.0|3.0|2.88|2.88|2.88|2.5|2.25|2.25|2.25|1.38,Corel Paint Shop Pro|Timekeeping software|Inventory control software|Microsoft Excel|Microsoft Word,N|N|Y|Y|N
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",Shape molten glass according to patterns.,Monitoring|Active Listening|Speaking|Critical Thinking|Reading Comprehension|Writing|Mathematics|Active Learning|Learning Strategies|Science,3.12|3.0|3.0|3.0|2.88|2.88|2.5|2.5|2.5|1.75,Microsoft Excel|Billing software|Microsoft Outlook|Inventory control software,N|N|Y|Y
51-9195.05,"Potters, Manufacturing","Operate production machines such as pug mill, jigger machine, or potter's wheel to process clay in manufacture of ceramic, pottery and stoneware products.",Active Listening|Critical Thinking|Monitoring|Speaking|Reading Comprehension|Writing|Mathematics|Active Learning|Learning Strategies|Science,3.0|3.0|3.0|2.88|2.75|2.38|2.12|2.0|1.75|1.5,Microsoft Excel|Microsoft Outlook|Inventory control software,N|Y|Y
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders","Set up, operate, or tend paper goods machines that perform a variety of functions, such as converting, sawing, corrugating, banding, wrapping, boxing, stitching, forming, or sealing paper or paperboard sheets into products.",Active Listening|Speaking|Critical Thinking|Monitoring|Active Learning|Reading Comprehension|Writing|Mathematics|Learning Strategies|Science,3.0|3.0|3.0|3.0|2.88|2.75|2.25|2.12|2.0|1.0,Adobe Acrobat|Objectif Lune PrintShop Mail|Virtual Systems Mail-Shop|Adobe Illustrator|Microsoft Excel|Microsoft Office software|Microsoft Word|Adobe InDesign|Adobe Photoshop|Quark enterprise publishing software,Y|Y|Y|Y|Y|Y|Y|N|N|N
51-9197.00,Tire Builders,Operate machines to build tires.,Active Listening|Critical Thinking|Monitoring|Speaking|Reading Comprehension|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.0|3.0|3.0|2.62|2.25|2.0|2.0|2.0|1.88|1.0,Web browser software|IBM Lotus Notes|Microsoft Project|Microsoft Excel|Microsoft Office software|Programmable logic controller PLC software|Microsoft Word|SAP software|Microsoft PowerPoint|Microsoft Outlook,N|Y|Y|Y|Y|Y|Y|N|Y|N
51-9198.00,Helpers--Production Workers,"Help production workers by performing duties requiring less skill. Duties include supplying or holding materials or tools, and cleaning work area and equipment.",Active Listening|Monitoring|Reading Comprehension|Speaking|Critical Thinking|Active Learning|Writing|Mathematics|Learning Strategies|Science,2.75|2.75|2.62|2.62|2.62|2.12|2.0|2.0|2.0|1.0,Adobe Acrobat|Autodesk AutoCAD|Operational databases|Microsoft Excel|Microsoft Office software|SAP software|Microsoft Word|Adobe InDesign|Adobe Photoshop|Microsoft PowerPoint|Microsoft Outlook,Y|Y|Y|Y|Y|Y|Y|Y|Y|N|Y
51-9199.00,"Production Workers, All Other",All production workers not listed separately.,,,,
53-1041.00,Aircraft Cargo Handling Supervisors,"Supervise and coordinate the activities of ground crew in the loading, unloading, securing, and staging of aircraft cargo or baggage. May determine the quantity and orientation of cargo and compute aircraft center of gravity. May accompany aircraft as member of flight crew and monitor and handle cargo in flight, and assist and brief passengers on safety and emergency procedures. Includes loadmasters.",Critical Thinking|Active Listening|Speaking|Monitoring|Learning Strategies|Reading Comprehension|Writing|Mathematics|Active Learning|Science,3.75|3.62|3.62|3.62|3.5|3.25|3.12|3.0|3.0|1.5,Facebook|Microsoft Excel|Microsoft Office software|Microsoft Word|Warehouse management system WMS|Corel WordPerfect Office Suite|Cargo tracking system software|Microsoft Outlook,N|N|Y|Y|Y|Y|Y|N
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","Directly supervise and coordinate the activities of helpers, laborers, or material movers, hand.",Speaking|Active Listening|Critical Thinking|Monitoring|Reading Comprehension|Writing|Learning Strategies|Active Learning|Mathematics|Science,3.62|3.5|3.38|3.38|3.12|3.12|3.0|2.75|2.25|1.38,Microsoft Access|Oracle Database|Time and attendance software|Inventory control software|Microsoft Excel|Microsoft Office software|Sage ERP Accpac|Microsoft Word|SAP software|Inventory management systems|Corel WordPerfect Office Suite|Microsoft PowerPoint|Warehouse management system WMS|Employee scheduling software|Microsoft Outlook,N|N|N|N|Y|Y|Y|Y|Y|Y|Y|N|Y|N|N
53-1042.01,Recycling Coordinators,Supervise curbside and drop-off recycling programs for municipal governments or private firms.,Speaking|Active Listening|Critical Thinking|Reading Comprehension|Monitoring|Writing|Active Learning|Learning Strategies|Mathematics|Science,3.88|3.62|3.62|3.5|3.5|3.12|3.12|3.0|2.5|1.25,Email software|Microsoft Access|Web browser software|Operational databases|Microsoft Excel|Microsoft Office software|SAP software|Microsoft Word|Work scheduling software|Microsoft PowerPoint|Microsoft Outlook,N|Y|Y|Y|Y|Y|Y|N|Y|N|N
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Directly supervise and coordinate activities of material-moving machine and vehicle operators and helpers.,Active Listening|Speaking|Reading Comprehension|Critical Thinking|Monitoring|Writing|Active Learning|Learning Strategies|Mathematics|Science,4.0|3.88|3.62|3.62|3.5|3.38|3.12|3.12|2.75|1.25,Fleet management systems|Load optimization software|Barcode software|Microsoft Word|Actsoft Comet Tracker|Proof of delivery POD software|CAPE Systems CAPE PACK|TOPS Engineering MaxLoad Pro|Accellos Real Dispatch|Web browser software|Strategic Business Systems Proof of Delivery|Coptimal Logics AutoLoad Pro|Mapping software|SAP software|Warehouse management system WMS,N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
53-1044.00,First-Line Supervisors of Passenger Attendants,Supervise and coordinate activities of passenger attendants.,Active Listening|Speaking|Reading Comprehension|Critical Thinking|Active Learning|Monitoring|Writing|Learning Strategies|Mathematics|Science,3.88|3.88|3.62|3.62|3.5|3.5|3.38|3.25|2.5|1.12,Accellos Real Dispatch|Microsoft Access|Web browser software|General ledger software|Scheduling software|Timekeeping software|Microsoft Excel|Microsoft Office software|SAP software|Microsoft Word|Inventory management systems|Work scheduling software|Microsoft PowerPoint|Microsoft Outlook|Commercial vehicle operations CVO software,N|N|N|N|Y|Y|Y|Y|Y|Y|Y|N|N|N|N
53-1049.00,"First-Line Supervisors of Transportation Workers, All Other",All first-line supervisors of transportation workers not listed separately.,,,,
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers","Pilot and navigate the flight of fixed-wing aircraft, usually on scheduled air carrier routes, for the transport of passengers and cargo. Requires Federal Air Transport certificate and rating for specific aircraft type used. Includes regional, national, and international airline pilots and flight instructors of airline pilots.",Active Listening|Critical Thinking|Monitoring|Reading Comprehension|Speaking|Active Learning|Writing|Mathematics|Learning Strategies|Science,4.12|4.12|4.12|3.88|3.75|3.75|3.12|3.12|3.0|2.75,doXstor Flight Level Logbook|Nimblefeet Technologies Captain's Keeper|Document Object Model DOM Scripting|IFT-Pro|Microsoft Word|RMS Technology Flitesoft|Navzilla|Polaris Microsystems CharterLog|Electronic aircraft information databases|Notam Development Group Airport Insight|AirSmith FlightPrompt|Polaris Microsystems AeroLog Pro|Airline Pilots Daily Aviation Log PPC|Microsoft Visio|Microsoft Excel,N|N|N|N|N|N|N|N|Y|Y|Y|Y|Y|Y|N
